probe_id,Predicted hits gene ids,Predicted hits gene names,Predicted hits are annotated ortholog
ENSG00000000457|SCYL3|930c2e3,ENSMMUG00000016583,SCYL3,True
ENSG00000000457|SCYL3|9dbaa19,ENSMMUG00000016583,SCYL3,True
ENSG00000000457|SCYL3|fa59a30,,,
ENSG00000001036|FUCA2|320b6b3,,,
ENSG00000001036|FUCA2|9f025db,ENSMMUG00000005366,FUCA2,True
ENSG00000001036|FUCA2|bd460de,ENSMMUG00000005366,FUCA2,True
ENSG00000001084|GCLC|193106b,ENSMMUG00000008684,GCLC,True
ENSG00000001084|GCLC|2f0cfad,,,
ENSG00000001084|GCLC|961e97a,ENSMMUG00000008684,GCLC,True
ENSG00000001084|GCLC|d642e39,ENSMMUG00000008684,GCLC,True
ENSG00000001084|GCLC|df856c6,,,
ENSG00000001084|GCLC|fa5d40e,,,
ENSG00000001460|STPG1|1861e17,ENSMMUG00000054255,STPG1,True
ENSG00000001460|STPG1|9bfd697,ENSMMUG00000054255,STPG1,True
ENSG00000001460|STPG1|f0f6883,,,
ENSG00000001561|ENPP4|8c5bcff,ENSMMUG00000042260,ENPP4,True
ENSG00000001561|ENPP4|a549aec,,,
ENSG00000001561|ENPP4|ced692e,ENSMMUG00000042260,ENPP4,True
ENSG00000002016|RAD52|62afad7,ENSMMUG00000018654,RAD52,True
ENSG00000002016|RAD52|c62109e,,,
ENSG00000002016|RAD52|cf19b09,ENSMMUG00000018654,RAD52,True
ENSG00000002549|LAP3|7584867,,,
ENSG00000002549|LAP3|7d5db7e,ENSMMUG00000005732,LAP3,True
ENSG00000002549|LAP3|f5876ed,ENSMMUG00000005732,LAP3,True
ENSG00000002586|CD99|139af6e,,,
ENSG00000002586|CD99|1ab0065,,,
ENSG00000002586|CD99|1bf172e,,,
ENSG00000002586|CD99|6dc471a,ENSMMUG00000018687;ENSMMUG00000055976,;,True;False
ENSG00000002586|CD99|d27f828,ENSMMUG00000018687,,True
ENSG00000003056|M6PR|38b1e89,,,
ENSG00000003056|M6PR|6b13206,ENSMMUG00000017846,M6PR,True
ENSG00000003056|M6PR|95848f2,ENSMMUG00000017846,M6PR,True
ENSG00000003400|CASP10|074888e,ENSMMUG00000031297,CASP10,True
ENSG00000003400|CASP10|2d9abc0,ENSMMUG00000031297,CASP10,True
ENSG00000003400|CASP10|c032130,,,
ENSG00000003402|CFLAR|2200cef,ENSMMUG00000012310,CFLAR,True
ENSG00000003402|CFLAR|240a147,ENSMMUG00000012310,CFLAR,True
ENSG00000003402|CFLAR|98fabaf,ENSMMUG00000012310,CFLAR,True
ENSG00000003402|CFLAR|9ff6d3a,,,
ENSG00000003402|CFLAR|df8041c,ENSMMUG00000012310,CFLAR,True
ENSG00000003436|TFPI|09eaec4,ENSMMUG00000009448,TFPI,True
ENSG00000003436|TFPI|12b914f,,,
ENSG00000003436|TFPI|f84b08d,ENSMMUG00000009448,TFPI,True
ENSG00000004139|SARM1|097e442,ENSMMUG00000061478,SARM1,True
ENSG00000004139|SARM1|67f44c5,,,
ENSG00000004139|SARM1|c404865,ENSMMUG00000061478,SARM1,True
ENSG00000004660|CAMKK1|7127cee,,,
ENSG00000004660|CAMKK1|87b1747,ENSMMUG00000020251,CAMKK1,True
