probe_id,Predicted hit gene id,Predicted hit gene name,Predicted hit is annotated ortholog
ENSG00000000003|TSPAN6|8eab823,ENSMMUG00000008209,TSPAN6,True
ENSG00000000003|TSPAN6|9d7fe51,ENSMMUG00000008209,TSPAN6,True
ENSG00000000003|TSPAN6|d2b5833,ENSMMUG00000008209,TSPAN6,True
ENSG00000000005|TNMD|7790621,ENSMMUG00000008212,TNMD,True
ENSG00000000005|TNMD|923f04b,ENSMMUG00000008212,TNMD,True
ENSG00000000005|TNMD|ab5ef5a,ENSMMUG00000008212,TNMD,True
ENSG00000000419|DPM1|73ef065,ENSMMUG00000002759,DPM1,True
ENSG00000000419|DPM1|99400b6,ENSMMUG00000002759,DPM1,True
ENSG00000000419|DPM1|e793733,ENSMMUG00000002759,DPM1,True
ENSG00000000460|C1orf112|0b8a2b7,ENSMMUG00000016582,C1H1orf112,True
ENSG00000000460|C1orf112|1c21489,ENSMMUG00000016582,C1H1orf112,True
ENSG00000000460|C1orf112|e742a92,ENSMMUG00000016582,C1H1orf112,True
ENSG00000000938|FGR|034a596,ENSMMUG00000014434,FGR,True
ENSG00000000938|FGR|0b6058b,ENSMMUG00000014434,FGR,True
ENSG00000000938|FGR|6d4a851,ENSMMUG00000014434,FGR,True
ENSG00000001167|NFYA|357189f,ENSMMUG00000021173,NFYA,True
ENSG00000001167|NFYA|b6f3640,ENSMMUG00000021173,NFYA,True
ENSG00000001167|NFYA|bb3cd94,ENSMMUG00000021173,NFYA,True
ENSG00000001461|NIPAL3|617a3fc,ENSMMUG00000004466,NIPAL3,True
ENSG00000001461|NIPAL3|92d97f1,ENSMMUG00000004466,NIPAL3,True
ENSG00000001461|NIPAL3|d587390,ENSMMUG00000004466,NIPAL3,True
ENSG00000001497|LAS1L|2f72cd0,ENSMMUG00000003922,LAS1L,True
ENSG00000001497|LAS1L|64900f8,ENSMMUG00000003922,LAS1L,True
ENSG00000001497|LAS1L|78dc231,ENSMMUG00000003922,LAS1L,True
ENSG00000001617|SEMA3F|3c3e8ef,ENSMMUG00000010337,SEMA3F,True
ENSG00000001617|SEMA3F|7942aeb,ENSMMUG00000010337,SEMA3F,True
ENSG00000001617|SEMA3F|d8d6b53,ENSMMUG00000010337,SEMA3F,True
ENSG00000001626|CFTR|5650978,ENSMMUG00000011269,CFTR,True
ENSG00000001626|CFTR|58b61c2,ENSMMUG00000011269,CFTR,True
ENSG00000001626|CFTR|9fd2aa0,ENSMMUG00000011269,CFTR,True
ENSG00000001629|ANKIB1|087e5da,ENSMMUG00000005120,ANKIB1,True
ENSG00000001629|ANKIB1|3519de5,ENSMMUG00000005120,ANKIB1,True
ENSG00000001629|ANKIB1|6177509,ENSMMUG00000005120,ANKIB1,True
ENSG00000001631|KRIT1|12748b4,ENSMMUG00000014907,KRIT1,True
ENSG00000001631|KRIT1|d201931,ENSMMUG00000014907,KRIT1,True
ENSG00000001631|KRIT1|dec68b3,ENSMMUG00000014907,KRIT1,True
ENSG00000002330|BAD|33184ef,ENSMMUG00000060596,BAD,True
ENSG00000002330|BAD|5251ad6,ENSMMUG00000060596,BAD,True
ENSG00000002330|BAD|98dc353,ENSMMUG00000060596,BAD,True
ENSG00000002587|HS3ST1|093477e,ENSMMUG00000001341,HS3ST1,True
ENSG00000002587|HS3ST1|28f4fff,ENSMMUG00000001341,HS3ST1,True
ENSG00000002587|HS3ST1|fa4a596,ENSMMUG00000001341,HS3ST1,True
ENSG00000002726|AOC1|3621989,ENSMMUG00000020435,AOC1,True
